timestamp,imsi,msisdn,call_type,duration_sec,cell_id,tower_lat,tower_lon
2026-01-01T10:00:29Z,250890000019525,79836737546,voice_fail,0,E500,55.0194,82.9432
2026-01-01T10:00:52Z,250130000014366,79136092478,sms_out,0,A100,55.0205,82.9336
2026-01-01T10:00:22Z,250540000092355,79062078728,voice_out,1721,D400,55.0249,82.9267
2026-01-01T10:00:38Z,250450000031164,79290450783,voice_in,2610,A105,55.0109,82.9392
2026-01-01T10:00:53Z,250140000088936,79052991756,voice_fail,0,B200,55.0184,82.9427
2026-01-01T10:00:28Z,250960000022187,79991676156,sms_out,0,C300,55.0139,82.9318
2026-01-01T10:00:42Z,250690000073391,79998100083,sms_in,0,C300,55.0093,82.9271
2026-01-01T10:00:53Z,250810000040248,79238262707,voice_out,1623,B200,55.0159,82.9363
2026-01-01T10:00:17Z,250680000084271,79054869185,voice_in,3274,A100,55.0215,82.9255
2026-01-01T10:00:12Z,250600000035178,79132994539,sms_out,0,A105,55.0179,82.9357
2026-01-01T10:00:59Z,250500000077520,79996409683,data_lte,3172,A100,55.0197,82.933
2026-01-01T10:00:46Z,250410000080059,79066967042,voice_in,3200,F600,55.0106,82.9276
2026-01-01T10:00:44Z,250160000049606,79993310744,data_3g,2645,F600,55.0253,82.9376
2026-01-01T10:00:33Z,250740000035077,79296796459,data_lte,1995,A100,55.01,82.9258
2026-01-01T10:00:54Z,250500000028718,79996952379,voice_out,2197,B200,55.0231,82.9377
2026-01-01T10:00:37Z,250800000061269,79520381823,data_3g,737,F600,55.0099,82.9318
2026-01-01T10:00:22Z,250540000079668,79035420168,sms_out,0,A100,55.0143,82.9239
2026-01-01T10:00:30Z,250740000079042,79290250491,voice_in,2571,B200,55.0186,82.9346
2026-01-01T10:00:46Z,250250000069036,79990711018,data_lte,302,D400,55.0265,82.9265
2026-01-01T10:00:41Z,250750000065876,79999878074,sms_out,0,C300,55.0238,82.9338
2026-01-01T10:01:00Z,250390000075672,79137482692,voice_out,2128,F600,55.0206,82.9389
2026-01-01T10:00:29Z,250370000016227,79830796109,voice_fail,0,E500,55.0092,82.943
2026-01-01T10:00:52Z,250930000098266,79992104395,sms_in,0,F600,55.0282,82.9399
2026-01-01T10:00:36Z,250140000068366,79130464411,voice_out,2067,A100,55.0273,82.9318
2026-01-01T10:00:12Z,250560000014463,79991933085,voice_in,65,B200,55.01,82.9329
2026-01-01T10:00:16Z,250970000039056,79237449064,voice_in,1384,A100,55.0173,82.9339
2026-01-01T10:00:16Z,250190000071741,79052756578,data_3g,227,A100,55.0217,82.9359
2026-01-01T10:00:54Z,250970000084875,79999393947,data_3g,412,D400,55.0193,82.9316
2026-01-01T10:00:20Z,250790000012740,79295658116,voice_out,1900,A100,55.0207,82.9271
2026-01-01T10:00:14Z,250390000033599,79291548058,data_3g,3443,B200,55.0171,82.9384
2026-01-01T10:00:51Z,250990000012677,79292871136,voice_out,1163,B200,55.014,82.9352
2026-01-01T10:00:09Z,250600000040496,79063519195,sms_in,0,A100,55.0262,82.9428
2026-01-01T10:00:50Z,250550000095026,79137878747,voice_in,2348,B200,55.0134,82.9265
2026-01-01T10:00:36Z,250760000076087,79038464858,data_3g,989,D400,55.0268,82.9296
2026-01-01T10:00:08Z,250130000080189,79064099929,sms_out,0,E500,55.0154,82.9398
2026-01-01T10:00:13Z,250130000095251,79035522421,sms_in,0,F600,55.0101,82.9409
2026-01-01T10:00:13Z,250810000077114,79138388873,voice_in,2623,A100,55.012,82.927
2026-01-01T10:00:04Z,250860000077730,79995413272,data_lte,691,B200,55.0202,82.9255
2026-01-01T10:00:56Z,250580000072585,79536239705,sms_in,0,D400,55.0132,82.935
2026-01-01T10:00:46Z,250430000077906,79992910191,voice_in,1071,D400,55.0118,82.9302
2026-01-01T10:00:59Z,250940000045350,79832452747,voice_in,245,D400,55.0217,82.926
